[STARTING] Super Peer is starting
[LISTENING] Super Peer(UDP) is listening on 127.0.0.1:40008
[LISTENING] Super Peer(TCP) is listening on 127.0.0.1:30008
[NEW CONNECTION] ('127.0.0.1', 50016) connected.
[REGISTER] 127.0.0.1:50016 registerd
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3738291, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3738291, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.3846972, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3846972, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3846972, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.3846972, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3846972, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3846972, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.3846972, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.397234, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.397234, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.397234, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.397234, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.397234, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.397234, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.397234, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.408167, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.408167, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.408167, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.408167, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.408167, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.408167, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.408167, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.4187891, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.4187891, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.4187891, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.4187891, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.4187891, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.4187891, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.4187891, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.4295318, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.4295318, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.4295318, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.4295318, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.4295318, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.4295318, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.4295318, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.440254, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.440254, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.440254, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.440254, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.440254, TTL: 4
